Bill Cosford,"Amazing things happen in Terminator 2, things you've never seen in movies -- things you didn't know the movies could do.","Aug 17, 2021",Miami Herald,fresh
Stephen Silver,"Its legacy still holds up today, thanks to all of those elements- the plot, the effects, the action, and that performance from its leading man. (30th anniversary)","Jul 16, 2021",Tilt Magazine,fresh
Mike Massie,"While bigger isn't always better, writer/director James Cameron's follow-up is genuinely bigger and better in nearly every way.","Sep 24, 2020",Gone With The Twins,fresh
Richard Trenholm,James Cameron's update of his sci-fi action classic is a great night at the movies. Just don't expect it to change your mind about 3D.,"Apr 16, 2019",CNET,fresh
Ed Travis,"Inarguably one of the greatest sequels ever made, Terminator 2 builds itself upon a few key ideas that upend the audience's expectations and work like gangbusters with industry-altering technological execution.","Nov 2, 2018",Cinapse,fresh
Sean Mulvihill,No matter how bad the sequels get they can't undo the greatness of Terminator 2. This is a movie that will live forever.,"Oct 31, 2018",FanboyNation.com,fresh
Alan French,Cameron's vision makes the engine go and shows why he is one of the best blockbuster directors ever.,"Oct 10, 2018",AwardsCircuit.com,fresh
Bryant Frazer,"Terminator 2 is genuinely reverential towards Arnold, gazing raptly upon his physical form and elevating his lack of affect to something like a Platonic ideal of masculinity.","Jul 25, 2018",Film Freak Central,fresh
Animal Johns,T2 truly attains the test of time with a fabulous story connected with smart and effective special effects that complement the story.,"Jun 22, 2018",Starburst,fresh
Dennis King,"With Terminator 2: Judgment Day, Cameron has bested his own earlier effort with a sequel that takes the original themes, the darkly high-tech style and the cutting wit of his 1984 sci-fi hit The Terminator and pumps the energy up to kinetic overload.","Jun 3, 2018",Tulsa World,fresh
Jay Carr,"This time Mr. Heavy Metal is on the side of the good guys. Naturally, he isn't quite as much fun.","Apr 27, 2018",Boston Globe,rotten
Mike Ryan,The main point to take away from this: Terminator 2: Judgment Day is (a) still great and (b) retroactively depressing because these characters all seem to be in a better situation than we are right now.,"Jan 3, 2018",Uproxx,fresh
José Martín,"Terminator 2 is not only a bigger work than the original, it also cares more about the characters and their development, something that in the 1984 version was solved in a somewhat schematic way. [Full review in Spanish]","Dec 7, 2017",El antepenúltimo mohicano,fresh
James Kendrick,"embodies all that is great about summer movie thrills while also weaving through the various chase scenes, shoot-outs, and massive billowing explosions a genuine sense of human feeling and moral concern","Sep 16, 2017",Q Network Film Desk,fresh
Nick Schager,"Twenty-six years later, T2 has lost none of its thrilling power, feminist ferocity, and ominous foreboding-and seen on a big screen, it still puts most of its modern Hollywood progeny to shame.","Aug 31, 2017",The Daily Beast,fresh
Richard Roeper,"Even though this movie was made nearly 30 years ago, almost nothing about it feels dated.","Aug 31, 2017",Chicago Sun-Times,fresh
Chuck Bowen,"Twenty-six years after its release on Independence Day weekend in 1991, it's difficult not to watch Terminator 2: Judgement Day through a scrim of irony.","Aug 21, 2017",Slant Magazine,fresh
Justin Clark,Linda Hamilton gets so little due respect over the years for how much of the film's midsection rides on her.,"Jul 7, 2016",Slant Magazine,fresh
Matt Brunson,An explosive sequel.,"Jul 4, 2015",Creative Loafing,fresh
Mick LaSalle,"""The Terminator 2"" is movie-making on a massive scale, packed dense with spectacular touches that are too many to describe - escape scenes, helicopter stunts and huge explosions.","Jun 30, 2015",San Francisco Chronicle,fresh
